CASEID,WEIGHT,WEIGHTPOP,P_PARTYID7,QUALLIFE,HLTHPHYS,HLTHMNTL,SATSOC,ACTSSOC,PHYSACTS,EMOPROBS,FATIGUE,RATEPAIN,FEELA,FEELB,FEELC,FEELD,FEELE,FEELF,FEELG,FEELH,FEELI,FEELJ,STRESS1,STRESS2,STRESS3,STRESS4,LONELY1,LONELY2,LONELY3,SATFIN,FINALTER,FINRELA,GOODLIFE,KIDSSOL,HAPPY,REACT1A,REACT1B,REACT1C,REACT1D,REACT1E,REACT1F,REACT1G,REACT1H,REACT1I,REACT1J,REACT1K,REACT1L,REACT1M,REACT1N,REACT1O,REACT2A,REACT2B,REACT2C,REACT2D,REACT2E,REACT2F,REACT2G,REACT2H,REACT2I,REACT2J,REACT2K,REACT2L,REACT2M,REACT2N,REACT2O,THNGA,THNGB,THNGC,THNGD,THNGE,INFO,CHANGE,Q9,Q10,Q11,Q14,ECONIMPACTA,ECONIMPACTB,ECONIMPACTC,ECONIMPACTD,ECONIMPACTE,ECONIMPACTF,ECONIMPACTG,ECONIMPACTH,ECONIMPACTI,ECONIMPACTJ,ECONIMPACTK,ECONIMPACTL,ECONIMPACTM,ECONIMPACTN,ECONIMPACTO,ECONIMPACTP,ECONIMPACTQ,Q25_1,Q25_2,Q25_3,Q25_4,Q25_DK,Q25_SKP,Q25_REF,Q19,Q20_1,Q20_2,Q20_3,Q20_DK,Q20_SKP,Q20_REF,Q21A,Q21B,Q21C,Q21D,Q21E,Q21F,Q21G,CAREGAPA,CAREGAPB,CAREGAPC,CAREGAPD,CAREGAPE,CAREGAPF,CAREGAPG,CAREGAPH,CAREGAPI,CAREGAPJ,CAREGAPK,CAREGAPL,WHYCAREGAPA,WHYCAREGAPB,WHYCAREGAPC,WHYCAREGAPD,WHYCAREGAPE,WHYCAREGAPF,WHYCAREGAPG,WHYCAREGAPH,WHYCAREGAPI,WHYCAREGAPJ,WHYCAREGAPK,WHYCAREGAPL,TELEHEALTH,CAREGIVEA,CAREGIVEB,CAREGIVEC,CAREGETA,CAREGETB,CAREGETC,FLOYDPROTESTA,FLOYDPROTESTB,FLOYDPROTESTC,FLOYDPROTESTD,STARTDT,ENDDT,DURATION,SURV_MODE,SURV_LANG,DEVICE,GENDER,AGE4,AGE7,EDUC4,MARITAL,EMPLOY,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,HHINCOME,EDU_R3,INC_R3,EMPLOYED,MARRIED,RACETH,AGE_GROUP_R5,HOTSPOT
783,0.99225339,123748.56400,Lean Democrat,Fair,Fair,Good,Good,Good,Mostly,Sometimes,Moderate,5,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,More or less satisfied,Worse,Below average,Somewhat agree,Somewhat worse,Pretty happy,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,,,,,No,Yes,No,,Yes,,Yes,,,,Yes,No,Yes,Yes,No,No,Often,SKIPPED ON WEB,No,No,No,"No, I receive no pay",No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,,,,,,,Both,,,Both,I decided,,Yes,No,No,No,Yes,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,26JUN20:20:03:49,26JUN20:20:51:22,48,Web Interview,English,Smartphone,Female,60+,65-74,Some college,Married,Working - self-employed,South,West South Central,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,2,0,0,0,0,2,"$100,000 to under $150,000",Some college,"$100,000 or more",Employed,Married/co-habitating,"White, non-Hispanic",65 or older,Not Hotspot
784,0.79546482,99206.140170,Lean Democrat,Excellent,Very good,Excellent,Very good,Very good,Completely,Never,Mild,1,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Almost never,Very often,Very often,Almost never,Never,Rarely,Never,Satisfied,Stayed the same,Average,Somewhat agree,No children,Pretty happy,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,No,No,Often,None,No,No,No,"Yes, I receive full pay but do not have to take leave",No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,,,,I decided,,I decided,,,,,,,Not sure,No,No,Yes,No,No,No,Strongly agree,Agree,Agree,Disagree,24JUN20:14:09:26,24JUN20:15:39:46,21,Web Interview,English,Smartphone,Male,60+,65-74,Some college,Married,Not working - retired,South,East South Central,Metro Area,Non-internet household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,5,0,0,1,0,4,"$75,000 to under $100,000",Some college,"$50,000 to under $100,000",Not employed,Married/co-habitating,"White, non-Hispanic",65 or older,Not Hotspot
785,0.44682292,55725.377650,Lean Republican,Good,Good,Very good,Good,Very good,Completely,Never,Mild,1,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Almost never,Fairly often,Fairly often,Never,Sometimes,Sometimes,Rarely,Satisfied,Better,Average,Somewhat agree,About the same,Pretty happy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,No,No,No,No,No,Rarely,Only a few,No,No,Yes,"Yes, I receive full pay but do not have to take leave",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Yes,No,No,No,Yes,No,No,Strongly agree,Strongly agree,Agree,Strongly agree,22JUN20:19:16:56,22JUN20:19:47:52,31,Web Interview,English,Desktop,Male,60+,65-74,HS graduate or equivalent,Widowed,Working - as a paid employee,Midwest,West North Central,Metro Area,Internet Household,Occupied without payment of cash rent,A one-family house detached from any other house,Cellphone only,1,0,0,0,0,1,"$75,000 to under $100,000",High school diploma or less,"$50,000 to under $100,000",Employed,Not married,"White, non-Hispanic",65 or older,Not Hotspot
786,1.34308877,167502.88570,Lean Democrat,Excellent,Good,Fair,Very good,Good,Completely,Sometimes,Severe,1,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Almost never,Fairly often,Fairly often,Almost never,Sometimes,Sometimes,Rarely,Satisfied,Stayed the same,Above average,Strongly disagree,Much worse,Pretty happy,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,,,No,Yes,Yes,No,No,Often,None,No,No,No,"No, I receive no pay",No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,,,I decided,I decided,Both,Both,Both,Both,,Both,,Yes,No,No,No,No,No,No,Strongly agree,Disagree,Strongly agree,Disagree,22JUN20:22:16:53,22JUN20:22:28:53,12,Web Interview,English,Desktop,Male,60+,65-74,BA or above,Married,Not working - retired,South,West South Central,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have a landline, but mostly use cellphone",2,0,0,0,0,2,"$100,000 to under $150,000",Bachelors degree or more,"$100,000 or more",Not employed,Married/co-habitating,"White, non-Hispanic",65 or older,Hotspot
791,0.41173891,51349.886290,Lean Republican,Very good,Very good,Very good,Very good,Very good,Completely,Never,None,1,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Never,Never,Never,Never,Never,Never,Never,More or less satisfied,Worse,Average,Somewhat agree,Somewhat better,Very happy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,No,No,No,No,No,Often,None,Yes,No,No,"No, I receive no pay",No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,Agree,Strongly agree,Agree,Strongly agree,23JUN20:11:45:21,23JUN20:11:50:04,5,Web Interview,English,Desktop,Male,30-44,25-34,Some college,Living with partner,Working - self-employed,Midwest,East North Central,Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,Cellphone only,2,0,0,0,0,2,"$100,000 to under $150,000",Some college,"$100,000 or more",Employed,Married/co-habitating,"White, non-Hispanic",30 to 39,Hotspot
796,0.55794316,69583.702150,Strong Democrat,Good,Very good,Very good,Very good,Very good,Completely,Rarely,Mild,0 - No pain,No,No,No,No,No,No,No,No,Yes,No,Never,Never,Fairly often,Never,Never,Never,Never,Satisfied,Stayed the same,Average,Somewhat disagree,About the same,Pretty happy,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,Yes,Yes,,,,,,,,,Yes,No,Yes,No,No,Often,None,No,No,Yes,"No, I receive no pay",No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,26JUN20:20:37:02,26JUN20:20:55:10,18,Web Interview,Spanish,Desktop,Male,45-59,55-64,BA or above,Living with partner,Working - as a paid employee,South,South Atlantic,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A building with 2 or more apartments,Cellphone only,2,0,0,0,0,2,"$50,000 to under $75,000",Bachelors degree or more,"$50,000 to under $100,000",Employed,Married/co-habitating,Hispanic,40 to 59,Hotspot
797,0.43433039,54167.375020,Strong Democrat,Excellent,Excellent,Excellent,Excellent,Excellent,Completely,Never,None,0 - No pain,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Never,Very often,Very often,Never,Never,Never,Never,Satisfied,Better,Far above average,Strongly disagree,Much worse,Very happy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,No,No,No,No,No,Never,None,No,No,Yes,"Yes, I receive full pay but do not have to take leave",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,No,No,No,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,22JUN20:18:50:06,22JUN20:19:36:37,48,Web Interview,English,Smartphone,Female,30-44,25-34,BA or above,Married,Working - self-employed,South,South Atlantic,Metro Area,Internet Household,Rented for cash,A one-family house attached to one or more houses,Cellphone only,4,0,0,2,0,2,"$75,000 to under $100,000",Bachelors degree or more,"$50,000 to under $100,000",Employed,Married/co-habitating,Other,30 to 39,Not Hotspot
798,1.23755758,154341.59790,Moderate Democrat,Fair,Fair,Good,Good,Fair,A little,Sometimes,Moderate,8,No,No,No,No,No,Yes,No,No,No,No,Never,Never,Sometimes,Never,Never,Never,Never,More or less satisfied,Stayed the same,Below average,Neither agree nor disagree,Much better,Pretty happy,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,,,,,,No,,,No,,No,,,,,Yes,No,Yes,No,No,Often,Some,No,No,No,"No, I receive no pay",No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,DON'T KNOW,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,I decided,,,,Yes,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,24JUN20:00:11:36,30JUN20:20:07:33,28,Phone interview,English,Phone interview (not online),Male,60+,65-74,HS graduate or equivalent,Married,Not working - retired,Midwest,East North Central,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Landline telephone only,3,0,0,0,0,1,"$40,000 to under $50,000",High school diploma or less,"Less than $50,000",Not employed,Married/co-habitating,"White, non-Hispanic",65 or older,Not Hotspot
799,0.75248103,93845.431160,Moderate Republican,Very good,Good,Excellent,Excellent,Excellent,Completely,Never,Mild,2,No,No,No,No,No,No,No,No,Yes,No,Never,Very often,Fairly often,Never,Never,Never,Never,Satisfied,Better,Average,Strongly agree,Somewhat worse,Very happy,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,Yes,,,,,,,,Yes,No,Yes,No,No,Most of the time,None,No,No,Yes,SKIPPED ON WEB,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,Provider decided,,,Not sure,Yes,No,No,No,No,No,Disagree,Strongly agree,Disagree,Agree,27JUN20:08:30:25,27JUN20:08:45:25,15,Web Interview,English,Smartphone,Male,45-59,45-54,Some college,Married,Working - as a paid employee,Midwest,East North Central,Non-Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,6,0,0,0,2,3,"$150,000 or more",Some college,"$100,000 or more",Employed,Married/co-habitating,"White, non-Hispanic",40 to 59,Not Hotspot
800,6.74873284,841666.05640,Moderate Democrat,Very good,Very good,Good,Excellent,Very good,Completely,Never,Mild,3,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Sometimes,Almost never,Almost never,Fairly often,Never,Sometimes,Never,Satisfied,Worse,SKIPPED ON WEB,Strongly agree,About the same,Pretty happy,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,,,,,Yes,Yes,No,Yes,,No,Yes,,,,No,Yes,No,Yes,Yes,Rarely,SKIPPED ON WEB,Yes,No,Yes,"Yes, I use paid leave",No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,A test indicating that you had the disease,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Both,,,Both,Provider decided,,,,I decided,,I decided,,Yes,Yes,No,Yes,No,Yes,No,Agree,Strongly agree,Disagree,Strongly agree,22JUN20:19:38:40,05JUL20:13:00:08,9,Web Interview,English,Smartphone,Male,18-29,25-34,No HS diploma,Living with partner,Working - as a paid employee,South,South Atlantic,Metro Area,Internet Household,Rented for cash,A one-family house detached from any other house,Cellphone only,6,0,2,0,1,4,"Under $10,000",High school diploma or less,"Less than $50,000",Employed,Married/co-habitating,"White, non-Hispanic",18 to 29,Not Hotspot
802,0.58742273,73260.238210,Lean Republican,Very good,Very good,Very good,Good,Good,Completely,Never,Moderate,7,Yes,No,No,No,No,No,No,No,Yes,No,Never,Very often,Very often,Never,Sometimes,Sometimes,Never,Satisfied,Better,Average,Somewhat agree,Somewhat worse,Pretty happy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,No,No,No,No,No,Occasionally,Only a few,No,No,No,"Yes, I receive partial pay",No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,Disagree,Strongly agree,Disagree,Neither agree nor disagree,22JUN20:23:53:17,23JUN20:00:05:36,13,Web Interview,English,Desktop,Male,60+,75+,Some college,Widowed,Not working - retired,West,Pacific,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have cellphone, but mostly use landline",1,0,0,0,0,1,"$10,000 to under $20,000",Some college,"Less than $50,000",Not employed,Not married,"White, non-Hispanic",65 or older,Not Hotspot
803,0.77192963,96270.956610,Don't Lean/Independent/None,Fair,Fair,Poor,Poor,Poor,Completely,Always,Severe,6,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Very often,Almost never,Never,Very often,Very often,Very often,Very often,Not at all satisfied,Worse,Far below average,Strongly disagree,No children,Not too happy,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,,,Yes,No,Yes,,Yes,Yes,,,,,,No,,No,No,No,No,No,Often,None,No,No,No,"No, I receive no pay",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,Provider decided,,,Not sure,No,No,No,Yes,No,No,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,24JUN20:03:22:13,24JUN20:03:47:20,25,Web Interview,English,Desktop,Male,30-44,35-44,HS graduate or equivalent,Never married,Not working - disabled,Midwest,West North Central,Non-Metro Area,Internet Household,Owned or being bought by you or someone in your household,A mobile home or trailer,"Have cellphone, but mostly use landline",3,0,0,0,0,3,"$10,000 to under $20,000",High school diploma or less,"Less than $50,000",Not employed,Not married,"White, non-Hispanic",30 to 39,Not Hotspot
804,1.15378913,143894.44210,Lean Republican,Very good,Fair,Very good,Good,Very good,Completely,Rarely,Mild,6,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Never,Very often,Very often,Almost never,Rarely,Rarely,Rarely,Satisfied,Stayed the same,Average,Neither agree nor disagree,No children,Pretty happy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,Occasionally,None,No,No,No,"No, I receive no pay",No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,SKIPPED ON WEB,No,,,,,,,,,,Provider decided,,,Yes,No,No,No,No,No,No,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,28JUN20:21:00:22,28JUN20:21:16:18,15,Web Interview,English,Desktop,Male,60+,65-74,HS graduate or equivalent,Divorced,Working - as a paid employee,Northeast,Mid-Atlantic,Metro Area,Non-internet household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have cellphone, but mostly use landline",1,0,0,0,0,1,"$50,000 to under $75,000",High school diploma or less,"$50,000 to under $100,000",Employed,Not married,"White, non-Hispanic",65 or older,Hotspot
805,0.60735482,75746.062190,Moderate Republican,Fair,Fair,Fair,Good,Fair,Moderately,Often,Severe,6,Yes,No,No,No,No,Yes,No,Yes,No,No,Fairly often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Often,More or less satisfied,Worse,Average,Neither agree nor disagree,Somewhat worse,Not too happy,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Occasionally,Only a few,Yes,Yes,Yes,"Yes, I receive partial pay",Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,,,Both,Both,Provider decided,,Provider decided,Both,I decided,,,Yes,Yes,No,No,Yes,No,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,24JUN20:11:08:43,24JUN20:11:22:56,14,Web Interview,English,Tablet,Male,30-44,35-44,Some college,Married,Working - as a paid employee,Northeast,New England,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have a landline, but mostly use cellphone",4,0,0,2,0,2,"$75,000 to under $100,000",Some college,"$50,000 to under $100,000",Employed,Married/co-habitating,"White, non-Hispanic",40 to 59,Not Hotspot
806,1.85972252,231934.69930,Don't Lean/Independent/None,Very good,Good,Good,Very good,Very good,Completely,Sometimes,Mild,1,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Almost never,Fairly often,SKIPPED ON WEB,Almost never,Sometimes,Sometimes,Sometimes,Satisfied,Stayed the same,Average,Neither agree nor disagree,No children,Pretty happy,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,,,No,No,Yes,Yes,Yes,No,Yes,,Yes,,,,,No,No,Yes,No,No,Often,None,No,No,No,SKIPPED ON WEB,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Not sure,No,No,No,No,No,No,Agree,Strongly agree,Agree,Strongly agree,23JUN20:13:44:09,23JUN20:13:52:54,9,Web Interview,English,Desktop,Female,45-59,55-64,BA or above,Never married,Working - as a paid employee,Northeast,Mid-Atlantic,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have a landline, but mostly use cellphone",2,0,0,0,0,2,"$75,000 to under $100,000",Bachelors degree or more,"$50,000 to under $100,000",Employed,Not married,"White, non-Hispanic",40 to 59,Not Hotspot
812,1.02052642,127274.62520,Don't Lean/Independent/None,Fair,Fair,Fair,Fair,Fair,Moderately,Sometimes,Moderate,2,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Sometimes,Sometimes,Sometimes,Fairly often,Often,Often,Often,More or less satisfied,Worse,Below average,Somewhat agree,Much worse,Not too happy,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,,,No,Yes,Yes,Yes,Yes,Yes,,Yes,No,,,No,No,No,No,No,Rarely,Only a few,No,No,No,"No, I receive no pay",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,Provider decided,,,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,23JUN20:13:30:08,23JUN20:13:44:49,15,Web Interview,English,Smartphone,Male,60+,65-74,HS graduate or equivalent,Married,Not working - disabled,Northeast,New England,Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,Cellphone only,2,0,0,0,0,1,"$10,000 to under $20,000",High school diploma or less,"Less than $50,000",Not employed,Married/co-habitating,Other,65 or older,Hotspot
814,0.59947187,74762.942480,Lean Democrat,Good,Good,Good,Good,Good,Completely,Sometimes,Mild,0 - No pain,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Almost never,Fairly often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,More or less satisfied,Stayed the same,Above average,Somewhat disagree,Somewhat worse,Pretty happy,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,,,Yes,No,,No,,Yes,,,,,,,,Yes,No,Yes,No,No,Often,None,No,No,No,"No, I receive no pay",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Not sure,Yes,No,Yes,Yes,No,No,Strongly agree,Disagree,Strongly agree,Strongly disagree,22JUN20:18:46:19,22JUN20:18:53:51,8,Web Interview,English,Desktop,Male,45-59,45-54,BA or above,Never married,Working - self-employed,South,West South Central,Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,"Have a landline, but mostly use cellphone",1,0,0,0,0,1,"$100,000 to under $150,000",Bachelors degree or more,"$100,000 or more",Employed,Not married,"White, non-Hispanic",40 to 59,Not Hotspot
815,2.81271639,350787.02450,Moderate Democrat,Good,Good,Fair,Good,Good,Completely,Often,Moderate,5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Almost never,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Satisfied,Stayed the same,Below average,Neither agree nor disagree,Somewhat better,Not too happy,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,No,Yes,No,No,Often,None,No,No,No,"No, I receive no pay",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Not sure,Yes,Yes,Yes,No,No,No,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,26JUN20:17:34:58,26JUN20:17:50:29,16,Web Interview,English,Smartphone,Female,45-59,45-54,HS graduate or equivalent,Married,Working - as a paid employee,Midwest,East North Central,Non-Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have a landline, but mostly use cellphone",4,0,0,0,0,4,"$10,000 to under $20,000",High school diploma or less,"Less than $50,000",Employed,Married/co-habitating,"White, non-Hispanic",40 to 59,Not Hotspot
820,0.72373802,90260.755740,Lean Republican,Excellent,Very good,Very good,Very good,Excellent,Completely,Never,Mild,6,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Sometimes,Very often,Very often,Never,Rarely,Rarely,Never,Satisfied,Better,Far above average,Strongly agree,Somewhat better,Very happy,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,No,,,,,,,,,,No,No,No,No,No,Often,None,No,No,No,"No, I receive no pay",SKIPPED ON WEB,No,No,SKIPPED ON WEB,No,No,SKIPPED ON WEB,Yes,SKIPPED ON WEB,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,,,,Provider decided,,,,,,Provider decided,Provider decided,,Yes,No,No,No,No,No,No,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,23JUN20:07:25:37,23JUN20:07:34:53,9,Web Interview,English,Tablet,Female,60+,75+,BA or above,Married,Not working - retired,South,South Atlantic,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have cellphone, but mostly use landline",2,0,0,0,0,2,"$100,000 to under $150,000",Bachelors degree or more,"$100,000 or more",Not employed,Married/co-habitating,"White, non-Hispanic",65 or older,Not Hotspot
